date,sym,company,close,volume,open,high,low
04/15/2025,AXON,Axon Enterprise Inc,578.42,330872,575.1,584.17,572.82
04/15/2025,CEG,Constellation Energy Corporation,208.42,1985995,206.6,212,206.35
04/15/2025,HON,Honeywell International Inc,198.81,3019515,200.83,202.36,198.39
04/15/2025,HSHIP,Himalaya Shipping Ltd,4.57,102169,4.76,4.765,4.57
04/15/2025,STLD,Steel Dynamics Inc,118.24,1073025,118.66,120.41,117.65
04/15/2025,TT,Trane Techologies plc,343.96,1062403,349.03,349.98,342.62
04/15/2025,WPM,Wheaton Precious Metals Corp,83.37,1955497,83.13,83.59,81.91
04/16/2025,ADD,Color Star Technology Co Ltd,0.8021,140905,0.75,0.8093,0.745
04/16/2025,AXON,Axon Enterprise Inc,571.85,368438,572.01,581.105,564.68
04/16/2025,CEG,Constellation Energy Corporation,204.19,2433624,205.05,207.4,201.44
04/16/2025,HON,Honeywell International Inc,193.28,4129331,197.5,198.59,192.51
04/16/2025,HSHIP,Himalaya Shipping Ltd,4.52,79341,4.54,4.57,4.475
04/16/2025,STLD,Steel Dynamics Inc,117.21,1123456,117.43,119.78,115.98
04/16/2025,TT,Trane Techologies plc,330.64,1620406,340.72,341.49,326.685
04/16/2025,WPM,Wheaton Precious Metals Corp,84.76,2910959,85.84,86.1992,83.701
04/17/2025,ADD,Color Star Technology Co Ltd,0.7745,1514577,0.76,0.85,0.76
04/17/2025,AXON,Axon Enterprise Inc,559.53,519731,578.2,578.2,556.39
04/17/2025,CEG,Constellation Energy Corporation,206.68,1963104,208.35,208.82,203.6038
04/17/2025,HON,Honeywell International Inc,196.6,3215569,195.25,198.33,194.975
04/17/2025,HSHIP,Himalaya Shipping Ltd,4.59,43840,4.52,4.61,4.5
04/17/2025,STLD,Steel Dynamics Inc,118.29,1049852,118.32,120.13,117.73
04/17/2025,TT,Trane Techologies plc,333.16,2243922,332.99,336.51,327.05
04/17/2025,WPM,Wheaton Precious Metals Corp,84.01,1746360,84.62,84.66,82.96
04/21/2025,ADD,Color Star Technology Co Ltd,0.7838,20721630,0.91,1.01,0.7021
04/21/2025,AXON,Axon Enterprise Inc,541.93,478945,550,556.63,531.22
04/21/2025,CEG,Constellation Energy Corporation,192.61,3290911,203.49,204.87,188.0057
04/21/2025,HON,Honeywell International Inc,194.23,4948636,194.98,195.8,192.12
04/21/2025,HSHIP,Himalaya Shipping Ltd,4.5,78623,4.52,4.57,4.5
04/21/2025,STLD,Steel Dynamics Inc,113.55,1230253,117.77,118.06,112.72
04/21/2025,TT,Trane Techologies plc,322.37,1769287,330.1,332,318.08
04/21/2025,WPM,Wheaton Precious Metals Corp,85.14,2028800,86.335,87.42,84.3075
04/22/2025,ADD,Color Star Technology Co Ltd,0.7194,2945120,0.69,0.7989,0.6666
04/22/2025,AXON,Axon Enterprise Inc,555.52,440802,551.32,561.8112,546
04/22/2025,CEG,Constellation Energy Corporation,200.88,2457830,197.55,202.42,195.85
04/22/2025,HON,Honeywell International Inc,198.37,4346696,195.86,199.65,195.41
04/22/2025,HSHIP,Himalaya Shipping Ltd,4.54,71630,4.53,4.58,4.5
04/22/2025,STLD,Steel Dynamics Inc,117.39,1655207,115.39,117.6605,114.76
04/22/2025,TT,Trane Techologies plc,332.62,1115316,331.88,335.608,324.78
04/22/2025,WPM,Wheaton Precious Metals Corp,83.46,2363578,85.75,86,83.05
04/23/2025,ADD,Color Star Technology Co Ltd,0.725,1367489,0.6901,0.7548,0.68
04/23/2025,AXON,Axon Enterprise Inc,576.9,492948,576.4,594.4624,574.2
04/23/2025,CEG,Constellation Energy Corporation,209.8,2976074,213.25,217.34,208.27
04/23/2025,HON,Honeywell International Inc,197.31,4157918,199.63,201.28,196.82
04/23/2025,HSHIP,Himalaya Shipping Ltd,4.92,210087,4.88,5.08,4.83
04/23/2025,STLD,Steel Dynamics Inc,122.49,2021608,120.86,127.25,119.5
04/23/2025,TT,Trane Techologies plc,335.87,1475159,344.6,348.29,334.995
04/23/2025,WPM,Wheaton Precious Metals Corp,81.53,4182438,79.89,82.08,79
04/24/2025,ADD,Color Star Technology Co Ltd,0.69,805542,0.7053,0.7399,0.6875
04/24/2025,AXON,Axon Enterprise Inc,590.67,493331,576.15,593.8359,571
04/24/2025,CEG,Constellation Energy Corporation,218.07,2336499,209.57,220.19,209.57
04/24/2025,HON,Honeywell International Inc,200.74,3239729,197.33,201.595,196.2401
04/24/2025,HSHIP,Himalaya Shipping Ltd,5.11,219412,5.04,5.12,4.92
04/24/2025,STLD,Steel Dynamics Inc,127.38,1352265,121.74,127.85,121.69
04/24/2025,TT,Trane Techologies plc,343.04,1261517,337.31,344.815,334.37
04/24/2025,WPM,Wheaton Precious Metals Corp,82.17,1408923,82.575,82.6,80.92
04/25/2025,ADD,Color Star Technology Co Ltd,0.703,814013,0.7,0.7228,0.6996
04/25/2025,AXON,Axon Enterprise Inc,603.78,556455,590.72,603.98,590.72
04/25/2025,CEG,Constellation Energy Corporation,222.99,2710833,218.11,223.945,216.5
04/25/2025,HON,Honeywell International Inc,199.16,3639403,199.2,200.58,197.79
04/25/2025,HSHIP,Himalaya Shipping Ltd,5.16,105308,5.18,5.32,5.13
04/25/2025,STLD,Steel Dynamics Inc,127.34,775041,125.87,127.77,125.755
04/25/2025,TT,Trane Techologies plc,347.97,1677710,343.09,351.78,343.09
04/25/2025,WPM,Wheaton Precious Metals Corp,81.65,1464036,80.01,81.85,79.7901
04/28/2025,ADD,Color Star Technology Co Ltd,0.7,707669,0.706,0.715,0.6512
04/28/2025,AXON,Axon Enterprise Inc,602.46,456126,605.66,614,594.54
04/28/2025,CEG,Constellation Energy Corporation,224.82,2396738,222.34,225.49,219.69
04/28/2025,HON,Honeywell International Inc,200.66,5690612,199.57,201.72,197.99
04/28/2025,HSHIP,Himalaya Shipping Ltd,5.25,79511,5.23,5.27,5.1
04/28/2025,STLD,Steel Dynamics Inc,127.94,884726,127.66,129.315,126.1265
04/28/2025,TT,Trane Techologies plc,351.32,2268727,348.14,354.95,346.68
04/28/2025,WPM,Wheaton Precious Metals Corp,82.07,1704901,81.21,82.11,80.21
04/29/2025,ADD,Color Star Technology Co Ltd,0.7,381506,0.6868,0.7049,0.6705
04/29/2025,AXON,Axon Enterprise Inc,611.13,399687,603.57,612.03,598.81
04/29/2025,CEG,Constellation Energy Corporation,226.45,2038928,224.31,227.36,220.5
04/29/2025,HON,Honeywell International Inc,211.49,8744588,207.45,212.43,206.86
04/29/2025,HSHIP,Himalaya Shipping Ltd,5.3,95212,5.3,5.37,5.3
04/29/2025,STLD,Steel Dynamics Inc,129.28,1307065,128.2,129.63,125.48
04/29/2025,TT,Trane Techologies plc,353.44,1733885,350.12,355,346.45
04/29/2025,WPM,Wheaton Precious Metals Corp,81.83,1597960,81.31,82.25,81.19
04/30/2025,ADD,Color Star Technology Co Ltd,0.6846,402128,0.6884,0.7038,0.62
04/30/2025,AXON,Axon Enterprise Inc,613.3,519821,591.59,614.76,585.49
04/30/2025,CEG,Constellation Energy Corporation,223.44,2185227,219.55,223.875,216.75
04/30/2025,HON,Honeywell International Inc,210.5,5031993,211.12,211.66,205.79
04/30/2025,HSHIP,Himalaya Shipping Ltd,5.22,85510,5.2,5.27,5.12
